Job Role,Job description,Required skills,Years of experience required,Company name,Location,Date posted
Network Engineer,"Experience leading, or chipping in to, large-scale green or brownfield architecture, designs, and deployments for global or national enterprise or Service…","Experience leading, or chipping in to, large-scale green or brownfield architecture, designs, and deployments for global or national enterprise or Service…",3 years,Uber,1097 Amsterdam,2 weeks ago
Intelligence Analyst,"Minimum of 2 years’ experience as an intelligence analyst and opensource investigations.
Conduct and oversee OSINT investigations, guide junior intelligence…","Minimum of 2 years’ experience as an intelligence analyst and opensource investigations.
Conduct and oversee OSINT investigations, guide junior intelligence…",1 year,Irdeto,Thuiswerken in Hoofddorp,2 days ago
Big Data Engineer,"Zodat deze data kan worden omgezet naar informatie, door bijvoorbeeld een dashboard te bouwen of door een grondige data-analyse te maken.","Zodat deze data kan worden omgezet naar informatie, door bijvoorbeeld een dashboard te bouwen of door een grondige data-analyse te maken.",5+ years,PANCOMPANY,Nederland,2 weeks ago
Junior Quantative modeling analyst (non retail),"Strong analytic skills and affinity with data analytics, (pre)processing, and data handling.
Junior Quantative modeling analyst (non retail).","Strong analytic skills and affinity with data analytics, (pre)processing, and data handling.
Junior Quantative modeling analyst (non retail).",3+ years,ABN AMRO,Amsterdam,3 days ago
CDD Analyst,"Ideally, candidates have experience in or at least have affinity with supporting the implementation of CDD systems in (user) testing and data migration.","Ideally, candidates have experience in or at least have affinity with supporting the implementation of CDD systems in (user) testing and data migration.",5+ years,NIBC,Thuiswerken in Den Haag,1 week ago
Data Manager,"Proven experience of at least 8 years as a data manager and/or geoscientist with exposure to technical data.
Has excellent knowledge of E&P data types and work…","Proven experience of at least 8 years as a data manager and/or geoscientist with exposure to technical data.
Has excellent knowledge of E&P data types and work…",3 years,GTS Geotech,Den Haag,2 days ago
Data Center Operations Engineer,"Ensuring repeatability across our global data centers.
Experience: Developing, building, and operating highly reliable and efficient data centers in a…","Ensuring repeatability across our global data centers.
Experience: Developing, building, and operating highly reliable and efficient data centers in a…",1 year,Adyen,Amsterdam,3 days ago
Data Engineer,"Knowledge of medical data standards such as FHIR and/or OMOP.
Develop SQL data transformations and connectors for new medical data sources.","Knowledge of medical data standards such as FHIR and/or OMOP.
Develop SQL data transformations and connectors for new medical data sources.",5+ years,IQVIA,"Belgium, Germany, Netherlands, Poland, UK",3 hours ago
Software Engineer II - Backend,"Sc, Ph.D) in Computer Science or related technical field or equivalent practical experience.
You will build software that will ship to millions of users, or…","Sc, Ph.D) in Computer Science or related technical field or equivalent practical experience.
You will build software that will ship to millions of users, or…",3+ years,Uber,1097 Amsterdam,6 days ago
Industrial Design Engineer,"BS Mechanical Engineering/Industrial Product Design or similar degree required, MS desired.
At Nuwa Pen we're looking for an Industrial Design Engineer to help…","BS Mechanical Engineering/Industrial Product Design or similar degree required, MS desired.
At Nuwa Pen we're looking for an Industrial Design Engineer to help…",5+ years,Nuwa Pen,9723 Groningen,2 weeks ago
Billing Process Analyst,"Billing / Finance expertise: Experience in billing and/or Finance is appreciated, demonstrate experience in a previous or current role delivering billing,…","Billing / Finance expertise: Experience in billing and/or Finance is appreciated, demonstrate experience in a previous or current role delivering billing,…",3 years,Shell,Rotterdam,3 days ago
Teacher English Myp Wassenaar,The International School Wassenaar – _Rijnlands Lyceum_ is a relatively new international secondary school that is located on the campus of Rijnlands Lyceum…,The International School Wassenaar – _Rijnlands Lyceum_ is a relatively new international secondary school that is located on the campus of Rijnlands Lyceum…,2-5 years,Rijnlands Lyceum Wassenaar,2240 Wassenaar,1 week ago
English Team Lead,"A 64-bit version of Windows 10 or newer, or macOS 10.11 or newer.
Apple iOS 14.0 or newer.
An Intel Core i5-6300U or better/similar.
You are a great motivator.","A 64-bit version of Windows 10 or newer, or macOS 10.11 or newer.
Apple iOS 14.0 or newer.
An Intel Core i5-6300U or better/similar.
You are a great motivator.",0 year,5CA,Thuiswerken,2 days ago
Business Analyst,"It would be great if you already worked with the Azure Data Platform environment and if you have a basic understanding of data technologies like ADLS,…","It would be great if you already worked with the Azure Data Platform environment and if you have a basic understanding of data technologies like ADLS,…",2-4+ years,NN Group,Thuiswerken in 2595 Den Haag,1 week ago
Equity Analyst,Three to five years of experience in sell side or buy side equity research (or investment banking); industrials sector or relevant expertise preferred.,Three to five years of experience in sell side or buy side equity research (or investment banking); industrials sector or relevant expertise preferred.,1 year,Morningstar,Amsterdam,2 days ago
Strategic Data Analyst,"4+ Years of experience as an analyst or consultant.
As a Strategic Data Analyst, you will work closely with business stakeholders and the team of BI developers,…","4+ Years of experience as an analyst or consultant.
As a Strategic Data Analyst, you will work closely with business stakeholders and the team of BI developers,…",1 year,Schiphol,Schiphol,1 day ago
Data Management Analyst,"You have experience in data modelling, data quality, data mapping, data transformation, Meta data and reporting.
Our approach to flexible working.","You have experience in data modelling, data quality, data mapping, data transformation, Meta data and reporting.
Our approach to flexible working.",3+ years,Experian,Hybride werken in 2511 Den Haag,1 week ago
